node,archetype,spread,size_node,kstar_physical_line,kstar_rating_MW,Latitude,Longitude,Plant Name,conc
VENTSO_7_N2,BLUE,275.19254254901966,53251280.979,NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,150.0,36.386944,-120.236667,Five Points Solar Park,0.169949195648201
CAMERON_7_N008,RED,119.43665049019609,53251280.979,NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,150.0,35.075,-118.3158,Cameron Ridge LLC,0.1151792449201705
MENDOTA_1_B1,WHITE,76.40794541666666,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,36.755896,-120.365422,Covanta Mendota,0.1334913636951513
BORREGO_6_N009,RED,75.22781335784313,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,33.298889,-116.35083,Solar Borrego I,0.1079681938611981
BORREGO_6_N012,RED,75.22781335784313,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,33.298889,-116.35083,Solar Borrego I,0.1079681938611981
ADERAG1_7_N001,WHITE,72.50929085784314,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,37.120586,-120.32488,Adera Solar,0.1219654308504452
BORDER_6_B1,PURPLE,66.93755625,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,32.562448,-116.943869,Border Hybrid Energy Center,0.3569818947945459
