node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
PSP44B_7_N101,RED,42.12286274509804,0.1245307526210987,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-5.031184021505377,-0.7702910954301075,-0.7702910954301075,5.031184021505377,744,66830.51208,0.9154336965559621,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | ITC:CLOVER_MONA_345_2,23% | 17% | 9% | 3% | 3%
HARBORG_7_B3,RED,50.7060693627451,0.1682949199327035,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.054071720430107,-0.2833880846774192,-0.2833880846774192,3.054071720430107,744,66830.51208,0.9408413652335568,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
WLMNGTON_7_N002,RED,50.7060693627451,0.1693943470927592,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0412307956989246,-0.2831801075268816,-0.2831801075268816,3.0412307956989246,744,66830.51208,0.9417997493318164,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
HINSON_2_N041,RED,50.7060693627451,0.1679474639411963,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0595320161290323,-0.2824763373655913,-0.2824763373655913,3.0595320161290323,744,66830.51208,0.9406163797497502,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
PICOTHM_7_B1,RED,50.7060693627451,0.1679474639411963,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0595320161290323,-0.2824763373655913,-0.2824763373655913,3.0595320161290323,744,66830.51208,0.9406163797497502,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
ICEGEN_7_B1,RED,50.7060693627451,0.1693943470927592,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0412307956989246,-0.2831801075268816,-0.2831801075268816,3.0412307956989246,744,66830.51208,0.9417997493318164,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
LITEHIPE_6_N006,RED,50.7060693627451,0.1693943470927592,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0412307956989246,-0.2831801075268816,-0.2831801075268816,3.0412307956989246,744,66830.51208,0.9417997493318164,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
HARBORG_7_B2,RED,50.7060693627451,0.1682949199327035,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.054071720430107,-0.2833880846774192,-0.2833880846774192,3.054071720430107,744,66830.51208,0.9408413652335568,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
WLMNGTON_7_N003,RED,50.7060693627451,0.1693943470927592,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0412307956989246,-0.2831801075268816,-0.2831801075268816,3.0412307956989246,744,66830.51208,0.9417997493318164,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
HINSON_2_B1,RED,50.7060693627451,0.1679474639411963,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0595320161290323,-0.2824763373655913,-0.2824763373655913,3.0595320161290323,744,66830.51208,0.9406163797497502,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
HARBORG_7_B4,RED,50.7060693627451,0.1682949199327035,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.054071720430107,-0.2833880846774192,-0.2833880846774192,3.054071720430107,744,66830.51208,0.9408413652335568,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
DELAMO_2_N071,RED,49.662023406862744,0.148757077127136,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.408522194444444,-0.2504708541666665,-0.2504708541666665,3.408522194444444,720,66830.51208,0.9379948397418633,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1,20% | 15% | 10% | 8% | 6%
LBEACH3G_7_N001,RED,50.7060693627451,0.1679474639411963,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0595320161290323,-0.2824763373655913,-0.2824763373655913,3.0595320161290323,744,66830.51208,0.9406163797497502,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
LBEACH1G_7_N001,RED,50.7060693627451,0.1679474639411963,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0595320161290323,-0.2824763373655913,-0.2824763373655913,3.0595320161290323,744,66830.51208,0.9406163797497502,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
HINSON_2_N040,RED,50.7060693627451,0.1679474639411963,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0595320161290323,-0.2824763373655913,-0.2824763373655913,3.0595320161290323,744,66830.51208,0.9406163797497502,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
LBEACH4G_7_N001,RED,50.7060693627451,0.1679474639411963,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0595320161290323,-0.2824763373655913,-0.2824763373655913,3.0595320161290323,744,66830.51208,0.9406163797497502,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
LITEHIPE_2_N001,RED,50.7060693627451,0.1693943470927592,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0412307956989246,-0.2831801075268816,-0.2831801075268816,3.0412307956989246,744,66830.51208,0.9417997493318164,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
LITEHIPE_2_N041,RED,50.7060693627451,0.1693943470927592,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0412307956989246,-0.2831801075268816,-0.2831801075268816,3.0412307956989246,744,66830.51208,0.9417997493318164,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
LITEHIPE_6_N009,RED,50.7060693627451,0.1693943470927592,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0412307956989246,-0.2831801075268816,-0.2831801075268816,3.0412307956989246,744,66830.51208,0.9417997493318164,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
LBEACH2G_7_N001,RED,50.7060693627451,0.1679474639411963,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0595320161290323,-0.2824763373655913,-0.2824763373655913,3.0595320161290323,744,66830.51208,0.9406163797497502,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
HINSON_6_N019,RED,50.7060693627451,0.1679474639411963,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.0595320161290323,-0.2824763373655913,-0.2824763373655913,3.0595320161290323,744,66830.51208,0.9406163797497502,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | ITC:LDWP_IPP_NORTH,19% | 14% | 9% | 8% | 8%
MOORPARK_6_N069,RED,42.82911852941177,0.1101636133633803,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.919690607526883,-0.8724316330645161,-0.8724316330645161,4.919690607526883,744,66830.51208,0.9577923934975128,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | ITC:CLOVER_MONA_345_2,23% | 18% | 10% | 3% | 3%
MOORPARK_2_N062,RED,42.82911852941177,0.1101636133633803,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.919690607526883,-0.8724316330645161,-0.8724316330645161,4.919690607526883,744,66830.51208,0.9577923934975128,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | ITC:CLOVER_MONA_345_2,23% | 18% | 10% | 3% | 3%
TENNGEN2_7_B1,RED,42.832552205882365,0.1105206057580231,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.924666887096775,-0.8705162365591397,-0.8705162365591397,4.924666887096775,744,66830.51208,0.956807549507552,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | ITC:CLOVER_MONA_345_2,23% | 19% | 10% | 3% | 3%
DELAMO_2_N060,RED,49.662023406862744,0.148757077127136,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.408522194444444,-0.2504708541666665,-0.2504708541666665,3.408522194444444,720,66830.51208,0.9379948397418633,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1,20% | 15% | 10% | 8% | 6%
DELAMO_2_N061,RED,49.662023406862744,0.148757077127136,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.408522194444444,-0.2504708541666665,-0.2504708541666665,3.408522194444444,720,66830.51208,0.9379948397418633,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1,20% | 15% | 10% | 8% | 6%
DELAMO_2_N074,RED,49.662023406862744,0.148757077127136,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-3.408522194444444,-0.2504708541666665,-0.2504708541666665,3.408522194444444,720,66830.51208,0.9379948397418633,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1,20% | 15% | 10% | 8% | 6%
PITCHGEN_7_B1,RED,42.832552205882365,0.1105206057580231,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.924666887096775,-0.8705162365591397,-0.8705162365591397,4.924666887096775,744,66830.51208,0.956807549507552,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | ITC:CLOVER_MONA_345_2,23% | 19% | 10% | 3% | 3%
WDT273_7_N007,RED,42.832552205882365,0.1105206057580231,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.924666887096775,-0.8705162365591397,-0.8705162365591397,4.924666887096775,744,66830.51208,0.956807549507552,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | ITC:CLOVER_MONA_345_2,23% | 19% | 10% | 3% | 3%
SAUGUS_6_N001,RED,42.832552205882365,0.1105206057580231,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.924666887096775,-0.8705162365591397,-0.8705162365591397,4.924666887096775,744,66830.51208,0.956807549507552,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | ITC:CLOVER_MONA_345_2,23% | 19% | 10% | 3% | 3%
LKHODG1_7_N002,RED,49.80362254901961,0.10986290479363,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-5.5118235913978495,-1.8659592809139784,-1.8659592809139784,5.5118235913978495,744,66830.51208,0.9146795939218106,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,18% | 15% | 13% | 7% | 3%
LKHODG2_7_N002,RED,49.80362254901961,0.1098688206988925,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-5.5114738817204305,-1.8659592809139784,-1.8659592809139784,5.5114738817204305,744,66830.51208,0.9146508194768274,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,18% | 15% | 13% | 7% | 3%
OMWD_6_GN001,RED,49.84409509803922,0.1098660353031403,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-5.27973043548387,-1.5769118279569894,-1.5769118279569894,5.27973043548387,744,66830.51208,0.9073905997618543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_2,19% | 14% | 12% | 7% | 3%
TENNGEN1_7_B1,RED,42.832552205882365,0.1105206057580231,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.924666887096775,-0.8705162365591397,-0.8705162365591397,4.924666887096775,744,66830.51208,0.956807549507552,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | ITC:CLOVER_MONA_345_2,23% | 19% | 10% | 3% | 3%
GOALLINE_6_N001,RED,49.90363333333333,0.1103772261389731,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-5.385045494623656,-1.800844818548387,-1.800844818548387,5.385045494623656,744,66830.51208,0.9069336030246312,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_2,18% | 14% | 13% | 7% | 3%
BESSGEN_7_N003,RED,49.96990490196079,0.1145142029116705,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-5.123790564516129,-1.3480803225806453,-1.3480803225806453,5.123790564516129,744,66830.51208,0.9066887978061847,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_2,20% | 15% | 9% | 8% | 3%
BESSGEN_7_N002,RED,49.96990490196079,0.1145142029116705,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-5.123790564516129,-1.3480803225806453,-1.3480803225806453,5.123790564516129,744,66830.51208,0.9066887978061847,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_2,20% | 15% | 9% | 8% | 3%
BESSGEN_7_N001,RED,49.96990490196079,0.1145142029116705,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-5.123790564516129,-1.3480803225806453,-1.3480803225806453,5.123790564516129,744,66830.51208,0.9066887978061847,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_2,20% | 15% | 9% | 8% | 3%
ESCNDIDO_6_B1,RED,49.96990490196079,0.1145142029116705,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-5.123790564516129,-1.3480803225806453,-1.3480803225806453,5.123790564516129,744,66830.51208,0.9066887978061847,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_2,20% | 15% | 9% | 8% | 3%
ESCNDIDO_2_N021,RED,49.96990490196079,0.1145142029116705,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-5.123790564516129,-1.3480803225806453,-1.3480803225806453,5.123790564516129,744,66830.51208,0.9066887978061847,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_2,20% | 15% | 9% | 8% | 3%
PEN_2_B1,RED,50.05338725490195,0.1187460022202632,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-5.046511596774193,-1.2267546639784948,-1.2267546639784948,5.046511596774193,744,66830.51208,0.8977465405727761,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | ITC:CLOVER_MONA_345_2,20% | 16% | 8% | 7% | 3%
LODICITY_6_NNG1,WHITE,50.76498,0.1760996533440008,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.282396182795699,-1.3800853629032257,-1.3800853629032257,-1.282396182795699,744,66830.51208,0.8873191397581288,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_1,15% | 11% | 9% | 6% | 6%
